Task,Group,Variant,radiff2,sdhash,ssdeep
T5_Calculator,gpt5,_base,93.64,24.5,9.1
T5_Calculator,gpt5,_cff,90.11,21.2,0.0
T5_Calculator,gpt5,_clang_O2,94.42,30.8,6.5
T5_Calculator,gpt5,_elit,79.86,20.1,0.0
T5_Calculator,gpt5,_stripped,93.57,28.3,0.0
T5_Calculator,human,O0,95.32,55.7,18.4
T5_Calculator,human,_O3,95.26,47.8,32.0
T5_Calculator,human,_base,95.26,47.8,32.0
T5_Calculator,human,_cff,93.78,40.5,4.4
T5_Calculator,human,_clang_O2,96.19,58.1,40.6
T5_Calculator,human,_elit,87.29,32.8,3.3
T5_Calculator,human,_stripped,94.97,49.6,9.2
