Tool,u_statistic,p_value,effect_size_rbc,significant
ssdeep,20076.5,0.0004478568646213886,0.10771111111111109,True
sdhash,18871.5,0.017711667546474578,0.13828767123287666,True
radiff2,20045.0,0.05909833614102601,0.10911111111111116,False
