Task,Group,Variant,Basename,Cyclomatic,Nodes,Edges,Decompiled_Len
T5_Calculator,gpt5,_stripped,1_stripped,3,3,4,144
T5_Calculator,human,_O0,2_O0,16,13,27,1068
T5_Calculator,human,_O0,5_O0,32,21,51,1732
T5_Calculator,human,_O0,3_O0,20,17,35,1230
T5_Calculator,human,_O0,1_O0,19,14,31,1038
T5_Calculator,human,_O0,4_O0,38,17,53,2222
T5_Calculator,human,_O3,5_O3,31,18,47,1718
T5_Calculator,human,_O3,2_O3,16,13,27,1006
T5_Calculator,human,_O3,4_O3,37,15,50,1994
T5_Calculator,human,_O3,1_O3,19,14,31,1094
T5_Calculator,human,_O3,3_O3,19,14,31,1105
T5_Calculator,human,_base,3_base,19,14,31,1105
T5_Calculator,human,_base,2_base,16,13,27,1006
T5_Calculator,human,_base,1_base,19,14,31,1094
T5_Calculator,human,_base,4_base,37,15,50,1994
T5_Calculator,human,_base,5_base,31,18,47,1718
T5_Calculator,human,_cff,1_cff,19,14,31,1183
T5_Calculator,human,_cff,5_cff,3,3,4,387
T5_Calculator,human,_cff,2_cff,16,13,27,1204
T5_Calculator,human,_cff,4_cff,3,3,4,387
T5_Calculator,human,_cff,3_cff,3,3,4,387
T5_Calculator,human,_clang_O2,5_clang_O2,19,4,21,1162
T5_Calculator,human,_clang_O2,3_clang_O2,14,12,24,988
T5_Calculator,human,_clang_O2,1_clang_O2,21,13,32,828
T5_Calculator,human,_clang_O2,2_clang_O2,18,12,28,813
T5_Calculator,human,_clang_O2,4_clang_O2,33,12,43,1547
T5_Calculator,human,_elit,3_elit,26,14,38,5001
T5_Calculator,human,_elit,1_elit,32,18,48,5328
T5_Calculator,human,_elit,5_elit,51,22,71,10559
T5_Calculator,human,_elit,2_elit,24,13,35,9025
T5_Calculator,human,_elit,4_elit,58,15,71,8119
T5_Calculator,human,_stripped,4_stripped,3,3,4,144
T5_Calculator,human,_stripped,5_stripped,3,3,4,144
T5_Calculator,human,_stripped,3_stripped,3,3,4,144
T5_Calculator,human,_stripped,2_stripped,3,3,4,144
T5_Calculator,human,_stripped,1_stripped,3,3,4,144
