Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,O0,human,ssdeep,2_O0,3_O0,0
T1_WordCount,O0,human,ssdeep,2_O0,4_O0,0
T1_WordCount,O0,human,ssdeep,2_O0,5_O0,0
T1_WordCount,O0,human,ssdeep,3_O0,4_O0,0
T1_WordCount,O0,human,ssdeep,3_O0,5_O0,0
T1_WordCount,O0,human,ssdeep,4_O0,5_O0,0
T1_WordCount,O0,human,sdhash,4_O0,5_O0,012
T1_WordCount,O0,human,sdhash,2_O0,3_O0,007
T1_WordCount,O0,human,sdhash,1_O0,4_O0,012
T1_WordCount,O0,human,sdhash,2_O0,1_O0,008
T1_WordCount,O0,human,sdhash,1_O0,5_O0,006
T1_WordCount,O0,human,sdhash,2_O0,4_O0,011
T1_WordCount,O0,human,sdhash,2_O0,5_O0,009
T1_WordCount,O0,human,sdhash,3_O0,1_O0,007
T1_WordCount,O0,human,sdhash,3_O0,4_O0,010
T1_WordCount,O0,human,sdhash,3_O0,5_O0,008
T1_WordCount,O0,human,radiff2,1_O0,2_O0,0.866
T1_WordCount,O0,human,radiff2,1_O0,3_O0,0.861
T1_WordCount,O0,human,radiff2,1_O0,4_O0,0.898
T1_WordCount,O0,human,radiff2,1_O0,5_O0,0.891
T1_WordCount,O0,human,radiff2,2_O0,3_O0,0.869
T1_WordCount,O0,human,radiff2,2_O0,4_O0,0.838
T1_WordCount,O0,human,radiff2,2_O0,5_O0,0.832
T1_WordCount,O0,human,radiff2,3_O0,4_O0,0.829
T1_WordCount,O0,human,radiff2,3_O0,5_O0,0.833
T1_WordCount,O0,human,radiff2,4_O0,5_O0,0.904
T1_WordCount,O0,gemini,ssdeep,1_O0,2_O0,46
T1_WordCount,O0,gemini,ssdeep,1_O0,3_O0,0
T1_WordCount,O0,gemini,ssdeep,1_O0,4_O0,0
T1_WordCount,O0,gemini,ssdeep,1_O0,5_O0,0
T1_WordCount,O0,gemini,ssdeep,2_O0,3_O0,0
T1_WordCount,O0,gemini,ssdeep,2_O0,4_O0,0
T1_WordCount,O0,gemini,ssdeep,2_O0,5_O0,0
T1_WordCount,O0,gemini,ssdeep,3_O0,4_O0,0
T1_WordCount,O0,gemini,ssdeep,3_O0,5_O0,0
T1_WordCount,O0,gemini,ssdeep,4_O0,5_O0,44
T1_WordCount,O0,gemini,sdhash,3_O0,5_O0,017
T1_WordCount,O0,gemini,sdhash,1_O0,4_O0,043
T1_WordCount,O0,gemini,sdhash,2_O0,3_O0,017
T1_WordCount,O0,gemini,sdhash,1_O0,2_O0,019
T1_WordCount,O0,gemini,sdhash,2_O0,5_O0,020
T1_WordCount,O0,gemini,sdhash,1_O0,3_O0,019
T1_WordCount,O0,gemini,sdhash,1_O0,5_O0,020
T1_WordCount,O0,gemini,sdhash,4_O0,2_O0,022
T1_WordCount,O0,gemini,sdhash,4_O0,3_O0,016
T1_WordCount,O0,gemini,sdhash,4_O0,5_O0,018
T1_WordCount,O0,gemini,radiff2,1_O0,2_O0,0.958
T1_WordCount,O0,gemini,radiff2,1_O0,3_O0,0.946
T1_WordCount,O0,gemini,radiff2,1_O0,4_O0,0.966
T1_WordCount,O0,gemini,radiff2,1_O0,5_O0,0.958
T1_WordCount,O0,gemini,radiff2,2_O0,3_O0,0.93
T1_WordCount,O0,gemini,radiff2,2_O0,4_O0,0.957
T1_WordCount,O0,gemini,radiff2,2_O0,5_O0,0.948
T1_WordCount,O0,gemini,radiff2,3_O0,4_O0,0.949
T1_WordCount,O0,gemini,radiff2,3_O0,5_O0,0.958
T1_WordCount,O0,gemini,radiff2,4_O0,5_O0,0.971
T1_WordCount,O0,gpt5,ssdeep,1_O0,2_O0,0
T1_WordCount,O0,gpt5,ssdeep,1_O0,3_O0,0
T1_WordCount,O0,gpt5,ssdeep,1_O0,4_O0,0
T1_WordCount,O0,gpt5,ssdeep,1_O0,5_O0,0
T1_WordCount,O0,gpt5,ssdeep,2_O0,3_O0,0
T1_WordCount,O0,gpt5,ssdeep,2_O0,4_O0,0
T1_WordCount,O0,gpt5,ssdeep,2_O0,5_O0,0
T1_WordCount,O0,gpt5,ssdeep,3_O0,4_O0,68
T1_WordCount,O0,gpt5,ssdeep,3_O0,5_O0,0
T1_WordCount,O0,gpt5,ssdeep,4_O0,5_O0,0
T1_WordCount,O0,gpt5,sdhash,4_O0,5_O0,018
T1_WordCount,O0,gpt5,sdhash,3_O0,4_O0,082
T1_WordCount,O0,gpt5,sdhash,2_O0,1_O0,014
T1_WordCount,O0,gpt5,sdhash,3_O0,5_O0,024
T1_WordCount,O0,gpt5,sdhash,2_O0,3_O0,014
T1_WordCount,O0,gpt5,sdhash,2_O0,4_O0,016
T1_WordCount,O0,gpt5,sdhash,2_O0,5_O0,018
T1_WordCount,O0,gpt5,sdhash,1_O0,3_O0,024
T1_WordCount,O0,gpt5,sdhash,1_O0,4_O0,027
T1_WordCount,O0,gpt5,sdhash,1_O0,5_O0,023
T1_WordCount,O0,gpt5,radiff2,1_O0,2_O0,0.911
T1_WordCount,O0,gpt5,radiff2,1_O0,3_O0,0.965
T1_WordCount,O0,gpt5,radiff2,1_O0,4_O0,0.961
T1_WordCount,O0,gpt5,radiff2,1_O0,5_O0,0.938
T1_WordCount,O0,gpt5,radiff2,2_O0,3_O0,0.926
T1_WordCount,O0,gpt5,radiff2,2_O0,4_O0,0.927
T1_WordCount,O0,gpt5,radiff2,2_O0,5_O0,0.952
T1_WordCount,O0,gpt5,radiff2,3_O0,4_O0,0.989
T1_WordCount,O0,gpt5,radiff2,3_O0,5_O0,0.953
T1_WordCount,O0,gpt5,radiff2,4_O0,5_O0,0.951
T1_WordCount,_clang_O2,human,ssdeep,1_clang_O2,2_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,1_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,1_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,1_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,2_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,2_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,2_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,3_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,3_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,human,ssdeep,4_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,human,sdhash,1_clang_O2,3_clang_O2,017
T1_WordCount,_clang_O2,human,sdhash,4_clang_O2,5_clang_O2,013
T1_WordCount,_clang_O2,human,sdhash,2_clang_O2,4_clang_O2,013
T1_WordCount,_clang_O2,human,sdhash,1_clang_O2,2_clang_O2,016
T1_WordCount,_clang_O2,human,sdhash,2_clang_O2,5_clang_O2,011
T1_WordCount,_clang_O2,human,sdhash,1_clang_O2,4_clang_O2,011
T1_WordCount,_clang_O2,human,sdhash,1_clang_O2,5_clang_O2,009
T1_WordCount,_clang_O2,human,sdhash,3_clang_O2,2_clang_O2,020
T1_WordCount,_clang_O2,human,sdhash,3_clang_O2,4_clang_O2,008
T1_WordCount,_clang_O2,human,sdhash,3_clang_O2,5_clang_O2,017
T1_WordCount,_clang_O2,human,radiff2,1_clang_O2,2_clang_O2,0.876
T1_WordCount,_clang_O2,human,radiff2,1_clang_O2,3_clang_O2,0.888
T1_WordCount,_clang_O2,human,radiff2,1_clang_O2,4_clang_O2,0.871
T1_WordCount,_clang_O2,human,radiff2,1_clang_O2,5_clang_O2,0.874
T1_WordCount,_clang_O2,human,radiff2,2_clang_O2,3_clang_O2,0.879
T1_WordCount,_clang_O2,human,radiff2,2_clang_O2,4_clang_O2,0.853
T1_WordCount,_clang_O2,human,radiff2,2_clang_O2,5_clang_O2,0.85
